Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,like_groups
0.875,0.475,9.0,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667.0,723914.0,13.0
0.832,0.659,10.0,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893.0,1115598.0,14.0
0.605,0.687,9.0,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345187.0,216822.0,9.0
0.644,0.664,9.0,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373.0,203063.0,9.0
0.556,0.864,3.0,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,10183387.0,
0.496,0.863,9.0,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,12341722.0,
0.623,0.93,5.0,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613.0,3370635.0,17.0
0.687,0.793,2.0,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,205733.0,226771.0,10.0
0.492,0.969,9.0,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333.0,1102031.0,14.0
0.554,0.978,4.0,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,162600.0,2061834.0,16.0
0.529,0.967,1.0,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,166373.0,762715.0,13.0
0.524,0.939,9.0,-3.994,0.113,0.00022,0.0,0.623,0.661,150.184,184867.0,1400306.0,15.0
0.58,0.702,4.0,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,208960.0,2197293.0,16.0
0.585,0.972,9.0,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0,2534190.0,17.0
0.515,0.43,7.0,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640.0,4777393.0,18.0
0.255,0.393,5.0,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120.0,1274934.0,15.0
0.36,0.501,7.0,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067.0,593396.0,12.0
0.293,0.276,4.0,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267187.0,171322.0,9.0
0.531,0.61,11.0,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318187.0,125774.0,8.0
0.462,0.832,11.0,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893.0,180969.0,9.0
0.463,0.229,2.0,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290707.0,398951.0,11.0
0.291,0.767,7.0,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800.0,146328.0,8.0
0.516,0.342,4.0,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387.0,124486.0,8.0
0.574,0.913,6.0,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400.0,2039258.0,16.0
0.502,0.89,4.0,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880.0,5989128.0,19.0
0.31,0.7,9.0,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493.0,5643694.0,19.0
0.532,0.767,7.0,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173.0,1348845.0,15.0
0.754,0.759,9.0,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667.0,934797.0,14.0
0.389,0.873,4.0,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293.0,1067479.0,14.0
0.668,0.906,11.0,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933.0,14044.0,1.0
0.457,0.904,2.0,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427.0,642344.0,13.0
0.547,0.931,2.0,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507.0,119749.0,8.0
0.744,0.766,0.0,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,289133.0,3670416.0,18.0
