Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.554,0.978,4,-3.554,0.131,0.111,0,0.0731,0.594,135.095,162600,2061834
0.529,0.967,1,-3.647,0.0508,0.114,0,0.61,0.596,140.127,166373,762715
0.524,0.939,9,-3.994,0.113,0.00022,0,0.623,0.661,150.184,184867,1400306
0.58,0.702,4,-5.565,0.0337,0.0466,3.20E-06,0.536,0.299,105.076,208960,2197293
0.585,0.972,9,-4.45,0.0534,0.0143,0,0.0707,0.585,110.006,230253,2534190
0.515,0.43,7,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4777393
0.255,0.393,5,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120,1274934
0.36,0.501,7,-9.129,0.0258,0.0638,9.32E-05,0.172,0.324,74.807,264067,593396
0.419,0.383,4,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480,2133
0.293,0.276,4,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267187,171322
0.531,0.61,11,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318187,125774
0.462,0.832,11,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893,180969
0.463,0.229,2,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290707,398951
0.291,0.767,7,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800,146328
0.516,0.342,4,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387,124486
0.574,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,2039258
0.502,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,5989128
0.31,0.7,9,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,5643694
0.532,0.767,7,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,1348845
0.754,0.759,9,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667,934797
0.389,0.873,4,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,1067479
0.668,0.906,11,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933,14044
0.457,0.904,2,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427,642344
0.456,0.863,3,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227,1881
0.547,0.931,2,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507,119749
0.744,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.966,289133,3670416
0.831,0.868,11,-5.282,0.0325,0.176,0,0.184,0.483,131.971,194438,1327396
0.834,0.699,5,-3.222,0.178,0.111,0,0.131,0.809,94.086,272533,4899065
0.659,0.628,0,-8.685,0.179,0.186,0,0.105,0.262,94.05,219427,1594576
0.965,0.485,2,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523,5488829
0.649,0.931,1,-3.15,0.181,0.0093,0,0.751,0.744,153.645,213067,4746197
0.66,0.942,4,-2.273,0.185,0.00789,1.76E-05,0.834,0.543,126.017,158571,61252
0.798,0.629,11,-6.857,0.0735,0.00474,2.29E-05,0.324,0.4,130.002,284373,2094991
0.732,0.716,10,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855,6398855
0.872,0.789,1,-6.047,0.132,0.203,2.39E-05,0.125,0.646,126.042,236190,242932
0.932,0.457,11,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227,9523245
0.608,0.756,7,-2.675,0.176,0.0784,0,0.187,0.55,176.086,245507,7314
0.776,0.711,3,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400,6656468
0.853,0.981,8,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257760,672624
0.808,0.535,1,-12.521,0.0353,0.179,9.91E-05,0.158,0.848,114.031,220627,2269865
0.878,0.821,11,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365467,2254295
0.859,0.905,0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284160,8312571
0.831,0.921,5,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239227,3085718
0.877,0.854,1,-4.523,0.147,0.0544,5.50E-05,0.144,0.54,114.472,298120,2515830
0.775,0.719,7,-6.212,0.0435,0.132,1.79E-06,0.0662,0.712,117.513,246027,2121502
0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,6420621
